Month,Stock,Return,EP,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROA_q,GPM_q,PM_q,AT_q,OCFR+q,FL,DER,CR,CurR,ln_Capital,R_Nm,w_R_Nm,std_Nm,ln_Price,beta,turn_Nm,rating,MACD,DEA,DIR,RSI,PSY,BIAS
70,MMM,-0.41407,-1.3538,2.3462,-0.55104,-0.67361,-0.96063,-1.5967,-0.093961,-0.085417,1.0341,-0.029024,1.7582,1.2605,1.1772,0.1334,0.68547,-1.2979,-2.5788,-0.72033,-1.9853,0.10996,2.0476,-0.86207,-0.194,-0.64424,-1.0526,2.0045,-0.7041,-0.92842,-0.092977,1.2215,-1.8409,1.2045,0.81345,1.6561,-0.34852
70,AXP,0.12928,0.77377,-0.22266,-0.55034,1.311,-0.35968,-0.2951,0.0035188,-0.45586,0.69884,-0.90931,0.048358,-0.0083666,-1.1555,0.15454,0.62521,-0.7244,2.0267,-0.014916,-0.69474,1.091,2.9965,-0.14699,0.058003,0.48159,-0.050358,-0.48801,-2.1491,-0.1552,0.45612,-0.5446,-0.39633,-1.1597,-0.93701,-0.5838,0.47451
70,AAPL,0.0086019,0.35168,-0.88626,-0.66095,0.11126,-0.22637,0.53804,0.40936,-0.48688,-0.9924,1.0285,0.9823,-2.3775,-1.5251,0.68405,-0.8651,0.37388,-0.70278,0.50883,-1.288,1.9704,0.66749,-1.4717,0.29386,-0.87232,1.1363,-1.0879,0.81787,0.43692,0.30075,1.6551,-0.67847,-0.41626,0.45451,1.724,0.25627
70,BA,-0.27655,-1.5384,-0.88856,0.40653,-0.55739,-1.647,0.59718,-0.71877,-1.3943,-0.14572,0.40586,1.008,0.24698,-1.51,0.79674,1.0561,0.94654,1.5505,1.1467,1.9807,-0.16547,-0.1632,1.3366,0.28354,0.45312,0.95441,-0.19304,0.93617,-2.2781,-0.82018,-0.77842,-1.0494,-0.88958,-0.31039,-1.2292,0.64511
70,CAT,1.2766,0.43745,0.97396,-1.4828,-0.01023,-0.6407,-0.63425,1.0498,1.751,0.95601,2.1252,0.3099,-0.65321,-0.20384,-1.3762,0.14839,-0.91173,-0.54371,-0.58024,0.90651,0.46397,-1.0812,-0.41486,-1.3261,0.088844,-0.17594,-0.92432,2.0608,0.70988,-1.8356,-1.694,0.1676,-0.16755,1.9876,0.035804,0.42361
70,CVX,-1.0645,-0.11243,-0.60521,0.25228,1.1669,0.54084,-1.4954,0.076457,-0.19189,0.21102,0.18494,1.5555,0.038533,0.073956,-0.93888,-1.3758,0.383,0.71373,-0.22983,-0.47342,0.7616,0.86454,0.37539,0.71365,-0.95761,-0.48708,-0.19345,1.0947,1.6833,0.10667,-1.1902,-0.02422,-0.69453,1.6641,0.21794,0.61856
70,CSCO,-0.296,1.2304,-0.64887,0.33212,0.90048,-2.4491,-0.61439,-2.7601,-0.76306,1.9135,0.93521,0.45464,-1.4372,1.5302,-0.92624,1.0149,-0.22699,-0.19865,-0.44606,1.5089,-1.4818,-0.79663,0.23819,0.28747,-0.32085,0.87587,0.020133,0.92892,-2.5035,1.7546,0.15056,-1.3599,-0.10887,1.1908,1.1745,-0.084079
70,DD,0.58556,2.4352,0.70365,-0.83437,-0.043122,-0.52753,-0.70817,-0.54177,2.0857,0.5462,1.421,-1.1306,-0.39536,0.43657,-0.24379,0.013246,0.69405,1.7165,1.3852,0.0077794,1.2198,0.60868,0.04223,2.5631,-0.2839,0.32201,-0.31088,-1.0311,0.041639,-0.23781,-2.0438,2.1641,0.70264,0.36628,0.22287,-1.4353
70,KO,-0.88055,0.29449,-0.89814,-0.40437,1.1267,1.5611,0.095475,-0.30026,-1.1434,-0.20884,1.0333,1.6127,-1.6518,0.11158,-0.72709,0.20613,-0.39258,0.69017,-1.2776,0.55557,-1.865,-0.21672,1.233,0.20077,0.08623,-0.49151,-0.36008,-0.082186,1.6487,-0.38211,0.34751,-1.5875,0.046844,2.2734,-1.9292,1.7483
70,DIS,0.7876,0.87775,-0.37906,-0.99961,1.5531,-1.1899,0.48161,-0.26867,-0.36643,-0.29352,-0.44094,-0.36533,-2.1412,-0.63995,-1.5435,-0.58067,-1.5182,-0.53433,-0.073787,0.53423,-0.045347,-0.52155,-1.2938,0.77366,0.81274,-1.3891,0.31771,-0.41254,-0.4479,-0.95517,0.26732,2.6036,-1.456,-0.1606,-0.45086,0.7323
