Month,Stock,Return,EP,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROA_q,GPM_q,PM_q,AT_q,OCFR+q,FL,DER,CR,CurR,ln_Capital,R_Nm,w_R_Nm,std_Nm,ln_Price,beta,turn_Nm,rating,MACD,DEA,DIR,RSI,PSY,BIAS
30,MMM,0.10655,0.29922,-0.57264,-0.31519,-0.47682,1.5683,1.596,2.2538,-0.17696,0.16469,-1.5944,-0.28302,-0.79275,1.4343,-0.74133,0.025699,-0.92225,-0.58026,-1.0908,0.065709,1.5774,-0.74789,-0.16706,1.28,-0.97821,0.71477,2.0301,0.56407,-0.36444,-0.56906,-1.0401,0.1249,-1.6029,0.68284,1.3732,1.2634
30,AXP,-1.5445,0.17917,-1.2268,0.0076264,-0.011865,-0.25839,0.1315,-1.6245,0.33545,-0.30048,-1.0929,0.044384,0.817,-0.7749,-1.0539,2.413,0.45056,-1.1007,1.594,-0.76348,1.1911,-0.71342,-0.93293,1.4619,0.093418,-0.49157,-2.2822,0.38109,-1.2397,0.0014745,-1.0463,-1.6189,0.94205,-0.13885,0.46885,1.7833
30,AAPL,-2.5989,-0.10788,-2.1907,0.35353,1.208,-0.34481,0.048446,-2.4172,-0.20399,-0.87216,-0.69223,1.0787,0.64624,1.3471,-0.96884,-0.17402,0.57983,-0.037659,0.30813,0.49251,-1.5678,0.11686,-0.054925,1.5723,-0.32306,0.046685,-0.24035,0.13012,0.076162,0.050333,0.51316,0.17076,-1.1497,-1.1428,-0.047304,0.071762
30,BA,-1.9837,-0.42291,0.20042,0.91332,0.17155,-1.4455,0.21193,1.0609,-0.36143,-0.26765,1.6827,0.6797,-0.11964,0.89011,1.9981,-1.2253,-0.64083,0.03734,-0.62955,0.31019,-1.6618,1.9849,0.50636,-0.077457,-1.1366,0.92633,0.58303,0.51501,0.2379,-0.42242,0.075114,-0.13178,-0.01618,-0.086969,0.13501,-1.159
30,CAT,-1.0724,2.3502,-0.89888,0.22437,-0.35816,-1.1295,-0.89927,-0.44212,-0.51365,0.022667,-0.45208,0.86319,-0.45224,-0.81858,-0.057498,1.5571,-1.643,0.65531,0.057343,-1.6031,0.0039643,-0.76137,-0.7255,-0.75081,-1.1898,-0.84013,-0.97427,1.3516,-0.75737,0.3391,-0.46247,-1.3047,-1.2364,-0.21326,-1.3861,-0.63132
30,CVX,1.3246,1.3963,0.38659,0.1018,1.0629,1.509,0.41186,0.35533,-0.55252,-0.8386,-0.37077,0.88604,-1.4723,0.034641,0.20055,-0.86462,-0.48634,-0.92485,0.46786,0.55969,-1.0335,0.21201,1.3473,0.43184,-2.1152,0.73555,-1.2016,1.9858,-1.4692,2.6813,-1.4321,0.53719,0.26465,0.72308,1.9985,-1.4901
30,CSCO,-0.183,-1.5756,0.014411,0.68122,0.24507,0.24492,0.31274,-0.86613,-0.46452,-0.38068,0.080863,-0.17311,0.996,0.85423,0.45318,-1.2609,-1.0415,-1.6051,0.5839,-1.4232,0.53009,-0.10291,0.9885,0.44052,0.13717,-1.2252,-0.30361,1.661,-1.6088,-2.2536,-1.6571,0.5067,-0.29443,0.44015,-0.44985,0.98662
30,DD,-0.18995,-1.0828,0.9025,0.78811,-0.19543,-0.11215,0.54988,-0.78448,0.56193,-0.20427,1.7901,-0.55648,-0.86196,1.1447,1.6113,-0.31398,1.4081,0.2727,-0.82028,0.033532,0.94124,-0.92521,-1.5805,0.72987,3.2184,-0.83066,-0.81856,-1.3296,-1.2465,0.054758,0.1622,-0.3133,-0.34784,1.4303,0.97357,-0.22933
30,KO,0.10838,-0.55761,0.07891,-0.098988,0.28491,2.2767,-0.89644,1.104,0.70373,1.3459,0.67299,1.6352,0.18606,0.60201,-1.5211,-1.2784,0.73687,-0.93048,-1.0493,-0.27671,-0.055552,-0.2063,0.88272,-0.79842,-0.44291,-0.59966,-0.74083,-0.47897,-0.55951,-0.975,-0.29319,0.53561,0.77308,-0.5309,0.30764,-0.1325
30,DIS,0.34173,0.37867,-0.21352,0.6631,0.26111,0.62323,1.0674,1.2688,-0.0173,0.56944,-0.28056,1.5289,0.097149,-0.19056,0.48001,1.1099,0.19703,1.3926,-1.4376,-0.60431,-0.44463,0.86018,0.79047,-0.035971,0.83027,-0.35385,1.3451,-0.79391,0.53924,1.3668,-0.7647,-1.351,-0.1817,-1.0176,1.2697,-2.0088
