Month,Stock,Return,EP,BP,SP,NCFP,OCFP,DP,G/PE,Sales_G_q,Profit_G_q,OCF_G_q,ROE_G_q,ROE_q,ROA_q,GPM_q,PM_q,AT_q,OCFR+q,FL,DER,CR,CurR,ln_Capital,R_Nm,w_R_Nm,std_Nm,ln_Price,beta,turn_Nm,rating,MACD,DEA,DIR,RSI,PSY,BIAS
58,MMM,0.16238,-1.0855,-0.94418,0.1075,0.85667,-0.048507,0.0083931,-0.30375,-0.68141,-0.67701,0.32888,-0.55259,0.35858,-0.61351,2.4026,-0.21874,0.12046,0.676,-0.17374,0.50832,-0.29785,1.6157,-0.79415,0.43441,0.76446,-0.4801,1.7677,1.3575,0.85779,1.9037,1.0762,0.20783,-0.64437,-0.26305,0.68687,1.2615
58,AXP,0.78866,-0.63843,-1.3845,-1.0553,1.1625,-1.2502,0.1982,1.2261,0.23795,-0.33672,-1.0064,-1.1228,-0.62252,1.0287,-0.30728,-0.24449,-2.0668,0.020735,0.095305,0.92555,-2.1251,-1.2574,-0.058309,0.60585,0.36626,-0.72748,-0.72332,0.31984,1.2898,-0.77252,-0.20837,0.46469,-0.41986,1.5108,-0.21659,-1.856
58,AAPL,-1.2214,0.09085,-0.070787,-0.073767,1.0391,-0.28506,-1.099,0.80672,0.08443,1.3107,-0.43439,0.69986,1.3939,1.5286,1.0607,1.6704,0.36047,-1.0628,-2.506,2.6281,-0.26391,-0.31086,-1.057,-0.029796,0.15172,0.80745,0.91486,-0.86205,-0.13134,0.98225,-0.076152,0.17304,-1.1138,0.2785,1.149,-1.1352
58,BA,-0.055585,1.5827,0.55739,-1.5481,0.0037187,-0.85885,-0.5323,-0.5723,-1.4854,0.53785,-0.18732,-1.7535,-0.023402,1.2662,1.9569,0.8625,0.21286,-2.258,-1.2677,-0.89395,-0.10045,-1.615,-1.0577,-0.62875,2.2222,-1.0916,-0.30606,-0.4342,0.41588,0.64911,0.99631,0.53567,0.39352,0.2244,-1.0545,-0.094149
58,CAT,0.58692,1.0708,-1.1761,0.83368,-0.16359,-1.3982,0.67419,-1.1627,0.27486,1.2573,1.1882,-0.36181,1.5686,-0.77549,0.20153,0.74893,-1.3795,-0.74158,0.6888,-0.0075927,0.14991,0.53853,0.36605,-0.39886,0.96178,-0.73931,1.5412,-1.3817,-0.056472,-0.19065,0.22786,0.84829,-0.24805,2.2441,-0.39649,1.1387
58,CVX,-0.38482,-0.81541,-1.4592,-1.6274,-1.0271,0.99314,-1.3661,0.53545,-0.88746,0.13418,-1.5388,0.27086,2.7505,-1.1221,1.8353,0.97064,1.8719,1.5295,0.51052,-0.02192,-1.9003,1.0912,1.013,0.47033,1.3199,0.23264,-0.93872,1.8191,-0.18641,0.0091372,-0.704,0.26618,-0.88477,1.6341,1.0559,0.18561
58,CSCO,0.21715,-0.86067,0.35401,-1.4782,-0.018907,-1.6526,-1.5354,-1.7013,-0.374,-1.1406,0.90038,-0.80594,-0.31863,0.37236,-1.6679,-0.85296,0.30977,0.00828,-0.80273,2.0966,-0.0050857,-0.61411,-0.8892,-0.52389,-0.54744,-1.4433,-1.7748,-0.33533,2.0635,-0.017242,-2.8264,0.62584,-0.13628,-0.66331,0.76874,-1.679
58,DD,-0.017794,0.68813,0.6719,-0.76253,-0.4008,1.4013,0.2229,-1.7884,-0.38764,1.5484,1.2328,0.54848,-2.0485,1.7395,0.64964,0.16391,0.96862,0.54918,-1.7761,1.1526,-0.61355,-1.7346,-0.10065,0.95591,-0.48725,-0.39249,-0.72628,-0.37594,1.1119,0.64495,-0.72384,-0.4465,-0.66304,0.22305,-0.75469,-1.504
58,KO,-2.519,-0.50938,-0.18396,-0.45555,1.3669,1.1786,-1.8535,-2.6169,-0.26564,1.3132,0.7557,-0.24693,0.88396,-0.76588,-0.57165,-1.5129,-0.22015,0.22196,-1.5062,1.6687,-0.8211,0.82261,0.097684,1.0899,0.80111,0.54198,1.7581,-0.54663,0.061344,0.43078,-0.73376,-1.1338,0.70318,0.45884,0.72385,-2.0207
58,DIS,0.10618,0.62775,-1.2428,-1.2968,0.012736,-0.58433,-0.47186,0.72171,0.44155,0.00070404,0.39663,-0.76712,0.21,-0.31618,-0.84921,-1.151,-0.24634,-1.0591,-0.30384,0.16018,0.80094,0.029495,0.5828,-0.26094,-1.1289,0.76601,-0.92594,0.18138,-0.99018,0.090829,-0.12419,0.12441,-0.83473,1.877,0.44976,-1.4195
